出发poiid,到达poiid,驾车距离,驾车时间,公交距离,公交时间,步行距离,步行时间
10559194,76790,33412,3016,NULL,NULL,32225,25441
10559194,80719,45287,3942,NULL,NULL,41599,31509
10559194,55916162,32791,2576,NULL,NULL,27168,20963
10559194,81728,22388,2084,NULL,NULL,22551,17312
10559194,29950533,57659,4080,NULL,NULL,51139,38150
10559194,76144,34024,2827,NULL,NULL,32660,25813
10559194,10524093,45327,3760,NULL,NULL,33834,26622
10559194,24591219,37171,3160,NULL,NULL,35803,27707
10559194,80473,38017,3348,NULL,NULL,36265,28517
10559194,10524119,34287,2911,NULL,NULL,33219,26179
10559194,28408248,66575,3699,NULL,NULL,51153,38149
10559194,52075446,97706,5042,NULL,NULL,80563,59762
10559194,75615,45648,3831,NULL,NULL,33967,26724
10559194,75624,68353,4698,NULL,NULL,56150,41982
10559194,75611,35467,2990,NULL,NULL,34540,27125
10559194,75627,37706,3289,NULL,NULL,35943,28288
10559194,13412802,57198,3892,NULL,NULL,50939,37930
29950533,86058,29423,2272,NULL,NULL,25983,19952
29950533,91002,34681,2391,NULL,NULL,29169,22505
29950533,76790,35254,2491,NULL,NULL,30635,24080
29950533,80719,20366,1727,NULL,NULL,18746,14194
29950533,55916162,43509,2667,NULL,NULL,39844,31173
29950533,81728,40273,2691,NULL,NULL,39426,30107
29950533,10559194,57130,3975,NULL,NULL,51150,38155
29950533,76144,34510,2309,NULL,NULL,29219,22535
29950533,10524093,30733,2321,NULL,NULL,27348,21217
29950533,24591219,29366,2326,NULL,NULL,26357,20233
29950533,80473,30157,2453,NULL,NULL,26977,20656
29950533,10524119,34773,2393,NULL,NULL,29389,22836
29950533,28408248,3434,587,NULL,NULL,1526,1107
29950533,52075446,47488,2732,NULL,NULL,40075,29568
29950533,75615,31054,2392,NULL,NULL,27449,21295
29950533,75624,13495,2120,NULL,NULL,12475,9375
29950533,75611,31912,2428,NULL,NULL,28043,21636
29950533,75627,30421,2503,NULL,NULL,26946,20573
29950533,13412802,2842,534,NULL,NULL,1261,913
81728,86058,16637,1688,NULL,NULL,16083,13868
81728,91002,14093,1550,NULL,NULL,12517,10815
81728,76790,13315,1673,NULL,NULL,11650,9958
81728,80719,25190,2598,NULL,NULL,23575,19083
81728,55916162,9848,1074,NULL,NULL,6181,4897
81728,29950533,40283,2902,NULL,NULL,39439,30114
81728,10559194,21498,2060,NULL,NULL,22519,17309
81728,76144,13927,1484,NULL,NULL,12500,10838
81728,10524093,22363,2211,NULL,NULL,14089,11948
81728,24591219,17074,1817,NULL,NULL,15943,13048
81728,80473,17920,2005,NULL,NULL,15672,13446
81728,10524119,14190,1568,NULL,NULL,12543,10866
81728,28408248,40142,2663,NULL,NULL,39450,30110
81728,52075446,80670,4079,NULL,NULL,72079,54159
81728,75615,22401,2209,NULL,NULL,14222,12050
81728,75624,51317,3735,NULL,NULL,47663,36345
81728,75611,15370,1647,NULL,NULL,14226,12173
81728,75627,17609,1946,NULL,NULL,15350,13217
81728,13412802,39822,2714,NULL,NULL,39236,29891
55916162,86058,16432,1844,NULL,NULL,14464,12121
55916162,91002,13888,1706,NULL,NULL,11178,9387
55916162,76790,19311,1525,NULL,NULL,9703,8019
55916162,80719,32765,2442,NULL,NULL,22577,18043
55916162,81728,7343,985,NULL,NULL,6180,4866
55916162,29950533,43565,2657,NULL,NULL,40008,31164
55916162,10559194,31553,2338,NULL,NULL,27144,20910
55916162,76144,17659,1520,NULL,NULL,11161,9410
55916162,10524093,22439,1886,NULL,NULL,12876,10574
